joshua
ezra
nahum
ezekiel
philemon
ruth
matthew
daniel
malachi
john
obadiah
esther
jeremiah
habakkuk
luke
haggai
jonah
job
isaiah
micah
james
joel
jude
hosea
zechariah
nehemiah
zephaniah
amos
titus
