ammah
abarim
ebal
halak
lebanon
pisgah
zion
ararat
gerizim
hermon
moriah
seir
bashan
gilboa
hor
nebo
sinai
carmel
gilead
horeb
olivet
tabor
baal-hermon, baalhermon, baalhermon
beth-haccerem, bethhaccerem
bether
mount ephraim, mount ephrain
heres
peor
sephar
shapher
shenir
sion
sirion
