abana
chebar
gozan
jordan
peleg
sihor
ahava
cherith
habor
kanah
pharpar
ulai
amana
euphrates
hiddekel,tigris
kishon
pison
zered
arnon
gihon
jabbok
mejarkon
shihor
nile
